19,-312,-917
19,-313,-914
23,-315,-909
27,-314,-917
28,-310,-917
19,-309,-911
23,-312,-918
19,-312,-909
23,-313,-913
28,-308,-910
19,-310,-917
26,-308,-907
24,-317,-917
22,-310,-915
22,-317,-911
28,-313,-909
26,-311,-911
31,-307,-910
19,-309,-917
28,-317,-906
24,-314,-903
25,-313,-909
22,-314,-912
25,-313,-917
25,-314,-915
25,-315,-916
28,-313,-906
24,-311,-910
27,-313,-899
26,-308,-917
28,-313,-913
23,-312,-905
23,-312,-911
19,-310,-912
25,-315,-906
19,-310,-908
28,-308,-900
19,-314,-907
24,-317,-917
27,-317,-903
19,-313,-910
24,-313,-911
18,-312,-917
26,-311,-915
28,-315,-913
31,-313,-917
25,-312,-917
23,-313,-905
19,-314,-917
28,-315,-907
23,-309,-898
19,-314,-910
26,-314,-907
19,-311,-913
24,-314,-905
23,-311,-920
19,-312,-915
24,-309,-909
28,-313,-907
23,-311,-910
25,-317,-911
26,-313,-907
28,-308,-918
22,-312,-920
41,-345,-884
17,-291,-978
51,-313,-841
51,-317,-902
-33,-277,-991
14,-324,-866
39,-317,-925
-4,-309,-873
62,-336,-897
68,-333,-904
29,-208,-1088
38,-289,-971
99,-333,-892
38,-322,-819
39,-346,-866
-13,-269,-969
4,-205,-1133
48,-282,-1092
51,-389,-756
-50,-339,-877
-94,-297,-884
26,-369,-863
115,-461,-865
-77,-257,-867
35,-310,-1057
150,-347,-884
-13,-302,-920
26,-353,-846
2,-340,-779
15,-317,-927
44,-310,-894
19,-311,-941
18,-317,-910
32,-313,-909
40,-318,-895
41,-321,-903
17,-313,-904
30,-313,-918
29,-318,-903
17,-313,-907
19,-312,-917
25,-312,-905
19,-307,-921
19,-312,-917
18,-305,-913
30,-311,-912
19,-310,-912
17,-308,-910
11,-304,-918
23,-310,-904
19,-310,-903
19,-316,-895
28,-315,-917
19,-313,-909
26,-315,-916
19,-307,-910
18,-313,-906
23,-317,-905
19,-309,-919
19,-310,-904
24,-312,-906
28,-314,-917
18,-308,-911
30,-308,-912
28,-315,-909
19,-314,-919
19,-307,-910
32,-317,-924
